sensor_id,sensor_name,lat,lon,timestamp,p1,p2
10430,SDS011,59.958,17.726,2018-12-31 12:00:01,2.8,1.48
13020,SDS011,57.722,11.948,2018-12-31 12:01:20,42.55,9.75
14837,SDS011,59.296,18.106,2018-12-31 12:03:26,1.96,1.06
19119,SDS011,56.972,24.132,2018-12-31 12:04:52,19.5,10.59
17662,SDS011,56.892,15.09,2018-12-31 12:06:42,2.28,2.14
10914,SDS011,61.45,23.858,2018-12-31 12:08:38,8.0,2.34
18834,SDS011,59.262,18.036,2018-12-31 12:10:10,1.95,1.28
18986,SDS011,59.236,18.142,2018-12-31 12:12:13,3.42,1.16
17351,SDS011,58.674,16.368,2018-12-31 12:13:32,1.98,1.45
11546,SDS011,59.456,17.802,2018-12-31 12:15:27,2.5,0.95
11376,SDS011,59.124,15.126,2018-12-31 12:16:58,2.55,1.77
10723,SDS011,59.298,18.052,2018-12-31 12:18:54,3.7,2.26
14801,SDS011,57.716,12.048,2018-12-31 12:20:52,384.12,22.42
14290,SDS011,57.73,11.93,2018-12-31 12:22:20,49.46,12.72
14292,SDS011,59.42,17.842,2018-12-31 12:24:30,3.04,1.25
11763,SDS011,56.522,14.95,2018-12-31 12:25:50,11.04,4.43
11374,SDS011,59.258,18.008,2018-12-31 12:27:20,1.78,1.38
14276,SDS011,57.346,12.15,2018-12-31 12:28:38,439.52,54.32
13443,SDS011,59.218,18.218,2018-12-31 12:30:13,1.34,1.06
10430,SDS011,59.958,17.726,2018-12-31 12:31:41,1.7,1.13
17538,SDS011,55.612,12.972,2018-12-31 12:33:37,14.46,3.14
11378,SDS011,59.392,16.748,2018-12-31 12:35:38,5.2,1.34
15837,SDS011,59.846,17.638,2018-12-31 12:37:06,2.89,1.38
12679,SDS011,59.384,17.874,2018-12-31 12:39:07,0.4,0.4
11002,SDS011,55.796,13.09,2018-12-31 12:40:33,2.45,1.5
16149,SDS011,55.606,13.024,2018-12-31 12:42:17,10.28,3.42
12391,SDS011,59.86,17.64,2018-12-31 12:43:47,1.15,1.05
17235,SDS011,59.272,17.78,2018-12-31 12:45:41,3.23,1.28
11384,SDS011,56.748,13.882,2018-12-31 12:47:46,6.77,3.96
11767,SDS011,57.652,12.514,2018-12-31 12:49:17,3.44,2.2
10430,SDS011,59.958,17.726,2018-12-31 12:51:11,2.22,1.2
13428,SDS011,57.708,11.962,2018-12-31 12:52:36,49.18,13.28
9743,SDS011,57.664,12.054,2018-12-31 12:54:33,261.08,23.45
13020,SDS011,57.722,11.948,2018-12-31 12:55:55,33.16,10.53
14799,SDS011,57.75,11.97,2018-12-31 12:57:51,60.88,11.86
16149,SDS011,55.606,13.024,2018-12-31 12:59:52,10.52,3.56
9411,SDS011,59.266,15.23,2018-12-31 13:01:17,4.88,2.96
11006,SDS011,57.652,11.968,2018-12-31 13:03:09,24.75,5.86
19301,SDS011,59.362,12.152,2018-12-31 13:04:38,1.78,0.92
11374,SDS011,59.258,18.008,2018-12-31 13:06:44,2.4,1.66
16723,SDS011,57.736,11.894,2018-12-31 13:08:17,299.87,17.2
12133,SDS011,55.732,13.172,2018-12-31 13:10:00,0.0,0.0
14133,SDS011,59.364,18.018,2018-12-31 13:11:53,2.16,1.35
11380,SDS011,55.606,12.998,2018-12-31 13:13:12,12.08,5.68
16446,SDS011,55.66,12.592,2018-12-31 13:15:14,2.16,1.63
19337,SDS011,59.396,16.474,2018-12-31 13:16:46,1.96,1.81
16531,SDS011,57.698,11.958,2018-12-31 13:18:39,4.98,4.34
16723,SDS011,57.736,11.894,2018-12-31 13:20:28,46.7,12.47
15551,SDS011,57.712,11.996,2018-12-31 13:22:08,24.56,6.98
11374,SDS011,59.258,18.008,2018-12-31 13:24:00,2.04,1.75
14264,SDS011,57.654,11.88,2018-12-31 13:25:20,23.05,6.52
16155,SDS011,59.832,17.632,2018-12-31 13:27:19,2.01,1.02
10924,SDS011,59.86,17.652,2018-12-31 13:28:45,1.77,1.1
14278,SDS011,59.374,18.01,2018-12-31 13:30:45,2.52,0.98
16723,SDS011,57.736,11.894,2018-12-31 13:32:40,44.63,10.1
13419,SDS011,58.44,15.47,2018-12-31 13:34:13,1.65,0.93
10924,SDS011,59.86,17.652,2018-12-31 13:36:11,2.35,1.16
12133,SDS011,55.732,13.172,2018-12-31 13:37:32,0.0,0.0
11763,SDS011,56.522,14.95,2018-12-31 13:39:35,9.09,4.25
11767,SDS011,57.652,12.514,2018-12-31 13:40:58,3.41,1.58
12663,SDS011,58.49,15.528,2018-12-31 13:42:50,2.22,1.1
13475,SDS011,63.824,20.288,2018-12-31 13:44:47,0.2,0.0
12990,SDS011,57.692,11.958,2018-12-31 13:46:19,18.84,5.85
18826,SDS011,63.404,13.016,2018-12-31 13:48:07,0.14,0.14
16533,SDS011,55.722,13.202,2018-12-31 13:49:35,42.36,12.46
16811,SDS011,59.368,18.016,2018-12-31 13:51:34,1.76,0.85
11404,SDS011,58.396,15.566,2018-12-31 13:53:32,1.45,0.92
15561,SDS011,59.214,16.222,2018-12-31 13:55:03,3.92,1.14
16723,SDS011,57.736,11.894,2018-12-31 13:57:02,36.2,8.45
12990,SDS011,57.692,11.958,2018-12-31 13:58:31,19.84,5.38
16531,SDS011,57.698,11.958,2018-12-31 14:00:22,3.88,2.85
11004,SDS011,59.622,16.556,2018-12-31 14:01:48,3.24,1.9
12393,SDS011,59.344,18.034,2018-12-31 14:03:39,2.08,0.92
12679,SDS011,59.384,17.874,2018-12-31 14:05:42,0.4,0.4
18110,SDS011,57.49,12.078,2018-12-31 14:07:09,18.97,6.77
10216,SDS011,59.674,16.838,2018-12-31 14:08:57,2.54,1.62
12389,SDS011,59.924,10.744,2018-12-31 14:10:39,1.58,1.45
9411,SDS011,59.266,15.23,2018-12-31 14:12:44,4.44,3.34
17712,SDS011,64.6,21.088,2018-12-31 14:14:25,12.93,9.7
14801,SDS011,57.716,12.048,2018-12-31 14:16:07,24.46,9.3
11767,SDS011,57.652,12.514,2018-12-31 14:17:56,16.42,4.55
14290,SDS011,57.73,11.93,2018-12-31 14:19:20,18.02,5.88
17351,SDS011,58.674,16.368,2018-12-31 14:21:21,2.86,1.28
11767,SDS011,57.652,12.514,2018-12-31 14:22:53,15.14,4.37
13441,SDS011,55.662,13.114,2018-12-31 14:24:53,11.67,6.68
16147,SDS011,59.364,18.018,2018-12-31 14:27:00,4.42,1.85
11232,SDS011,55.596,13.022,2018-12-31 14:28:29,26.02,13.52
13762,SDS011,60.45,23.238,2018-12-31 14:30:16,12.55,9.48
16446,SDS011,55.66,12.592,2018-12-31 14:31:33,1.45,1.25
11769,SDS011,59.238,18.226,2018-12-31 14:33:34,2.37,1.23
14835,SDS011,56.098,12.65,2018-12-31 14:35:36,42.52,10.18
16815,SDS011,59.462,18.04,2018-12-31 14:37:07,4.5,2.45
11002,SDS011,55.796,13.09,2018-12-31 14:38:53,9.6,4.72
15067,SDS011,60.024,18.77,2018-12-31 14:40:25,1.14,0.82
17650,SDS011,59.304,18.102,2018-12-31 14:42:31,1.3,1.3
16535,SDS011,55.718,13.218,2018-12-31 14:43:45,548.34,40.25
10922,SDS011,59.494,17.976,2018-12-31 14:45:33,4.05,1.34
18112,SDS011,57.478,11.978,2018-12-31 14:47:42,42.25,7.26
13010,SDS011,57.632,11.962,2018-12-31 14:49:06,6.28,2.32
12679,SDS011,59.384,17.874,2018-12-31 14:51:09,0.4,0.4
17927,SDS011,58.396,15.544,2018-12-31 14:52:40,1.4,0.97
11765,SDS011,55.716,13.244,2018-12-31 14:54:39,354.58,21.32
15549,SDS011,64.752,20.978,2018-12-31 14:55:56,0.1,0.0
19547,SDS011,58.014,11.826,2018-12-31 14:57:52,15.07,3.38
14017,SDS011,59.376,18.01,2018-12-31 14:59:54,2.32,1.4
11058,SDS011,59.272,15.22,2018-12-31 15:01:11,2.6,2.16
10234,SDS011,56.826,14.938,2018-12-31 15:03:05,8.33,5.43
17662,SDS011,56.892,15.09,2018-12-31 15:04:38,2.06,1.92
7469,SDS011,56.944,24.142,2018-12-31 15:06:44,25.8,14.95
14803,SDS011,57.676,11.994,2018-12-31 15:08:01,21.79,6.6
18826,SDS011,63.404,13.016,2018-12-31 15:10:05,0.58,0.3
14276,SDS011,57.346,12.15,2018-12-31 15:11:52,31.32,9.95
12687,SDS011,59.388,17.798,2018-12-31 15:13:13,5.82,5.07
7406,SDS011,56.964,24.128,2018-12-31 15:15:13,11.02,6.72
14294,SDS011,59.37,18.016,2018-12-31 15:16:44,3.7,1.75
11378,SDS011,59.392,16.748,2018-12-31 15:18:35,2.3,1.25
12120,SDS011,59.46,17.908,2018-12-31 15:20:34,2.9,1.32
13010,SDS011,57.632,11.962,2018-12-31 15:22:07,12.8,3.34
12673,SDS011,59.364,18.022,2018-12-31 15:24:08,1.92,1.3
7597,SDS011,59.32,18.064,2018-12-31 15:25:24,1.52,1.42
11552,SDS011,57.698,11.992,2018-12-31 15:27:15,0.25,0.25
10647,SDS011,55.608,13.036,2018-12-31 15:28:37,29.06,14.86
16159,SDS011,57.818,15.224,2018-12-31 15:30:35,2.5,1.72
12135,SDS011,56.42,15.548,2018-12-31 15:32:33,2.35,1.66
14276,SDS011,57.346,12.15,2018-12-31 15:34:07,35.77,11.3
10216,SDS011,59.674,16.838,2018-12-31 15:36:07,4.14,1.84
11663,SDS011,59.38,18.04,2018-12-31 15:37:34,1.7,0.82
14300,SDS011,59.306,18.024,2018-12-31 15:39:18,2.32,1.3
11380,SDS011,55.606,12.998,2018-12-31 15:40:37,14.1,10.15
11374,SDS011,59.258,18.008,2018-12-31 15:42:41,2.12,1.5
9436,SDS011,59.334,18.034,2018-12-31 15:44:39,2.3,1.44
14133,SDS011,59.364,18.018,2018-12-31 15:46:05,3.4,1.72
16159,SDS011,57.818,15.224,2018-12-31 15:47:50,2.02,1.62
16153,SDS011,55.648,13.208,2018-12-31 15:49:24,30.97,12.07
11767,SDS011,57.652,12.514,2018-12-31 15:51:28,9.88,3.57
16159,SDS011,57.818,15.224,2018-12-31 15:52:46,1.96,1.58
10922,SDS011,59.494,17.976,2018-12-31 15:54:49,2.96,1.92
10926,SDS011,59.472,18.304,2018-12-31 15:56:43,2.86,1.68
19119,SDS011,56.972,24.132,2018-12-31 15:58:06,14.59,8.14
13483,SDS011,57.786,12.08,2018-12-31 16:00:04,692.06,47.92
13000,SDS011,58.052,11.752,2018-12-31 16:01:24,4.32,1.88
18056,SDS011,57.494,12.166,2018-12-31 16:03:16,37.68,10.18
14811,SDS011,57.706,11.9,2018-12-31 16:04:45,20.75,7.47
15551,SDS011,57.712,11.996,2018-12-31 16:06:55,16.93,7.68
14276,SDS011,57.346,12.15,2018-12-31 16:08:44,57.73,15.84
10281,SDS011,59.472,18.048,2018-12-31 16:10:09,4.12,3.35
10922,SDS011,59.494,17.976,2018-12-31 16:12:07,3.36,1.8
10823,SDS011,59.332,18.034,2018-12-31 16:13:30,3.57,1.7
12391,SDS011,59.86,17.64,2018-12-31 16:15:25,1.7,1.32
13012,SDS011,57.662,12.006,2018-12-31 16:16:51,5.32,2.61
17538,SDS011,55.612,12.972,2018-12-31 16:18:46,25.6,10.4
11771,SDS011,55.748,13.194,2018-12-31 16:20:48,25.4,10.16
16446,SDS011,55.66,12.592,2018-12-31 16:22:15,1.32,1.21
18838,SDS011,56.92,14.804,2018-12-31 16:24:04,28.72,7.75
